date,channel,impressions,clicks,spend,conversions,revenue
2023-04-27,Email,15105,433,22.78,28,2035.45
2024-12-13,Email,28128,719,40.02,41,3364.64
2023-11-22,Paid Search,86245,2388,5857.96,182,15811.61
2024-05-27,Paid Search,67218,2363,3153.48,122,10658.22
2023-07-18,Social,74869,893,587.99,18,1142.68
2024-04-19,Paid Search,54719,1870,2223.49,95,7151.78
2024-09-04,Email,20116,522,32.32,23,2005.05
2024-03-11,Paid Social,86742,1063,983.11,24,1532.95
2024-09-16,Paid Social,125281,1392,967.04,23,1746.85
2024-10-16,Email,19436,557,30.36,23,2104.05
2023-12-14,Email,23332,562,34.64,39,3507.56
2024-03-21,Video,41674,375,337.26,6,403.08
2023-01-08,Display,89492,407,197.9,4,246.86
2023-08-09,Display,136163,584,274.48,5,309.64
2023-06-22,Paid Social,100199,1304,901.22,25,1365.64
2023-11-08,Video,49983,469,386.16,8,560.53
2024-08-26,Paid Search,54128,1779,2323.21,75,4768.2
2024-01-28,Social,88840,1055,732.46,21,1431.07
2023-02-04,Display,137123,542,273.57,3,167.31
2024-05-29,Video,58685,507,431.46,7,558.02
2024-11-03,Paid Search,74647,2084,2544.29,73,5977.38
2024-06-16,Paid Social,141463,1687,1131.66,29,2078.45
2024-11-26,Display,149002,573,630.7,10,585.24
2024-03-25,Display,155229,580,286.75,5,223.12
2023-03-25,Email,11424,306,23.06,19,1694.47
2024-02-20,Paid Search,46953,1638,1974.07,47,3345.41
2024-07-11,Video,46769,371,372.86,7,568.37
2023-12-19,Paid Social,118962,1518,1147.29,29,1670.04
2024-09-04,Paid Social,95552,1098,784.1,16,1035.19
2024-10-11,Video,58999,424,342.43,7,432.33
2023-10-24,Email,19859,552,33.63,24,2123.96
2024-08-31,Email,16362,475,31.8,30,2352.47
2024-08-21,Video,46780,365,306.62,5,353.66
2024-07-23,Paid Search,49505,1637,1869.22,74,6363.75
2023-10-28,Email,12757,361,22.48,13,1079.93
2023-10-08,Video,63557,447,392.26,6,465.39
2023-04-09,Paid Search,56792,2062,2418.38,88,6655.36
2023-05-06,Email,10961,290,18.69,18,1472.38
2023-07-22,Email,14713,327,22.13,22,1866.38
2024-10-02,Paid Social,118057,1281,1023.12,36,2454.64
2023-09-17,Paid Search,59318,1773,2017.95,60,4249.34
2024-09-21,Display,158124,694,354.01,8,530.34
2024-03-15,Paid Social,111986,1496,1433.86,31,1852.38
2024-04-12,Email,17228,464,29.1,25,2647.92
2023-05-10,Display,112305,443,227.51,5,284.31
2023-09-05,Video,47909,385,400.14,4,280.02
2024-04-21,Display,169059,751,394.61,11,601.55
2023-08-10,Display,119468,525,258.78,6,363.05
2024-07-16,Display,119262,460,215.71,5,246.17
2023-06-10,Display,134040,577,276.84,5,311.87
2023-08-06,Email,13736,344,20.28,21,1553.16
2024-07-19,Display,141995,514,255.66,5,297.29
2023-05-05,Paid Social,89945,1165,800.02,22,1299.3
2023-06-30,Video,42706,379,333.21,6,418.77
2023-06-13,Email,18066,444,27.77,22,2110.11
2023-11-01,Email,22288,592,35.1,28,2978.73
2023-10-02,Paid Social,77042,913,630.46,21,1130.35
2024-11-15,Paid Search,83864,2902,3791.9,100,10335.33
2024-05-19,Paid Social,122516,1362,956.01,18,1049.7
2024-12-03,Display,240384,1174,586.51,13,794.28
2024-07-20,Paid Social,97107,1157,808.07,21,1263.95
2023-12-14,Paid Social,175382,1826,1122.93,32,2140.63
2024-12-29,paid_social,187270,2197,1508.04,44,2880.45
2024-11-03,Email,17475,375,21.55,23,2069.22
2024-07-31,Display,144060,629,300.05,6,318.2
2023-07-20,Email,17433,382,24.15,17,1308.74
2024-10-19,Email,18501,387,19.39,15,1571.78
2024-08-17,Paid Social,105577,1333,914.57,25,1522.08
2023-12-18,Paid Social,159007,2170,1455.36,50,3723.8
2024-03-11,Video,41581,398,492.89,7,458.99
2024-12-30,Paid Search,81997,3309,3847.88,162,12701.44
2024-01-28,Video,44156,280,221.18,5,382.92
2023-07-04,Email,13997,294,26.45,22,1913.7
2024-11-23,Paid Social,153416,1877,1198.93,36,2032.39
2024-04-11,Paid Social,110299,1302,876.96,27,1670.1
2024-11-25,Paid Search,69799,2370,5898.55,196,13412.12
2023-03-11,Display,125842,451,218.17,5,296.77
2023-12-07,Paid Search,76233,2540,3082.68,72,5750.59
2023-03-20,Email,14528,406,27.81,15,1543.59
2023-03-30,Video,42899,291,240.58,5,363.03
2024-08-31,Video,55572,416,398.03,7,483.25
2024-12-01,Paid Social,199205,2442,3313.87,95,5448.74
2024-11-30,Display,182471,711,656.32,12,706.88
2024-07-04,Video,42484,354,334.79,6,396.94
2024-02-27,Display,119519,463,227.34,5,258.02
2023-02-04,Paid Search,40276,1474,1705.58,49,3363.49
2023-06-14,Display,117442,460,207.36,4,247.45
2024-04-01,Email,21892,544,38.53,26,1990.28
2024-11-13,Video,87953,749,539.38,17,1017.35
2023-09-12,Video,45264,393,357.84,6,455.8
2024-03-25,Paid Search,55854,1669,1886.98,66,5784.46
2023-08-23,Email,13332,299,17.01,16,1439.16
2023-01-10,Paid Social,72887,800,527.77,14,958.8
2024-09-05,Video,58766,454,362.54,6,456.06
2024-05-18,Display,234117,819,405.42,7,390.56
2024-08-04,Paid Social,106539,1074,780.08,20,1474.79
2023-07-09,Paid Social,101037,1218,1188.49,37,2377.34
2024-01-21,Email,13321,402,22.47,26,2372.92
2024-02-07,Display,144352,479,213.86,4,288.23
2024-11-30,Paid Search,75346,2915,7245.57,214,17714.77
2023-06-18,Email,12324,356,23.7,19,1378.62
2024-12-07,Video,101533,778,648.19,9,825.04
2024-08-13,Paid Social,81237,961,669.58,21,1281.86
2023-05-06,Paid Search,48109,1616,2162.55,55,3370.32
2024-08-02,Display,125613,490,279.37,5,285.3
2023-08-11,Display,128293,494,251.64,6,346.12
2023-03-26,Video,44403,399,336.71,7,482.77
2023-08-26,Display,126988,561,329.4,7,440.05
2024-10-14,Display,195200,726,352.31,7,350.1
2024-09-09,Video,54134,411,340.44,6,453.26
2024-09-24,Paid Search,66266,2450,3073.43,108,7897.91
2023-07-19,Video,37640,262,261.76,4,266.09
2024-11-26,Email,27879,762,92.51,62,5929.52
2023-07-07,paid search,53518,1670,2785.95,108,9186.01
2024-09-07,Display,154461,524,263.64,5,313.83
2023-09-24,Email,14540,431,25.08,19,1595.53
2023-07-17,Display,108284,430,210.46,4,222.02
2023-05-02,Paid Search,60731,2294,2853.27,71,5844.12
2024-04-24,Paid Search,54414,1822,2154.57,66,5460.16
2023-09-02,Paid Search,53053,2113,,95,6771.62
2024-04-09,Display,163399,774,392.27,8,
2024-01-03,Email,13548,320,19.41,13,1065.51
2024-11-29,Paid Social,131961,1860,2588.47,82,5566.93
2023-09-11,Email,18715,421,23.68,25,1883.67
2024-11-03,Video,86103,641,545.42,10,711.73
2023-07-22,Paid Social,103225,1411,1052.58,37,2222.98
2024-04-01,Display,137886,514,266.94,5,278.43
2024-07-19,Paid Search,55278,2326,3255.78,72,7206.71
2023-09-28,Display,137445,566,287.29,6,369.69
2024-05-17,Paid Search,59723,2479,3026.7,112,8844.77
2024-01-13,Paid Social,94161,1173,861.64,20,1291.56
2023-04-21,Email,14095,320,20.39,16,1530.53
2023-07-28,Email,17215,401,25.28,26,2351.22
2023-02-24,Paid Social,89684,1165,727.82,19,1145.13
2023-09-18,Paid Social,126221,1527,901.79,33,1959.58
2024-06-28,Email,17212,348,19.89,19,1685.47
2024-08-03,Video,46577,404,319.04,6,415.72
2023-03-13,Paid Social,92046,1133,837.91,29,1917.5
2023-11-24,Video,74779,518,877.31,16,1113.72
2024-03-03,Video,56697,366,323.66,6,456.31
2024-09-17,Video,63960,413,358.93,6,452.47
2023-08-02,Paid Search,51036,1605,1997.4,80,6191.92
2024-02-21,Paid Search,57550,2094,2291.26,86,7430.12
2023-08-16,Video,41632,332,269.04,5,361.14
2024-01-04,Email,18485,394,23.3,17,1387.68
2023-02-07,Video,35097,313,270.47,5,306.65
2024-06-12,Email,22015,571,38.18,27,2328.75
2024-07-03,Display,134439,495,223.99,4,241.28
2023-01-28,Email,9442,226,13.69,13,1178.29
2023-07-26,Paid Search,57860,2067,2383.07,89,6585.03
2024-04-23,Email,18548,489,31.81,27,2553.08
2024-10-29,PaidSearch,69451,2372,2959.72,81,5368.77
2024-02-17,Paid Search,41412,1722,2112.0,73,5520.73
2023-12-28,Email,24477,618,35.61,31,3044.64
2024-05-13,Paid Social,100450,1145,759.21,17,1256.78
2024-07-27,Display,110167,432,208.05,5,250.75
2023-07-06,Video,39017,297,376.31,7,465.06
2023-05-07,Video,46397,329,267.42,6,429.53
2023-10-12,Video,55576,501,465.5,10,670.95
2024-09-26,Video,53980,393,375.24,5,337.25
2024-05-10,Paid Social,104157,1271,955.5,20,1399.3
2023-03-18,Paid Social,100819,1507,1053.42,27,1724.77
2024-05-26,Paid Search,55346,1570,2014.89,78,
2023-04-13,Display,133615,590,298.65,7,365.09
2024-04-30,paid_social,93992,905,652.12,15,875.8
2023-01-09,Display,125598,497,209.67,5,295.88
2023-03-04,Video,58683,556,533.21,9,740.58
2023-03-14,Video,46844,362,312.76,5,337.06
2024-08-04,Video,50673,412,350.35,7,506.87
2024-05-29,Paid Search,84624,3158,4263.68,130,10066.03
2023-04-30,Video,60401,526,464.37,7,486.81
2023-10-06,Display,130046,461,230.67,6,327.66
2023-10-24,Paid Search,67840,2512,3042.16,106,8936.59
2024-03-12,Video,55089,395,553.8,7,598.62
2024-10-14,Paid Search,72459,2274,2801.92,116,8614.94
2023-11-15,Paid Search,63610,1934,2288.75,69,5589.32
2023-02-04,Email,11589,304,20.14,15,1302.12
2024-08-28,Display,130092,485,250.59,5,252.73
2023-11-02,Display,147538,598,289.27,5,305.66
2024-03-09,Paid Search,62593,2902,3037.34,104,7627.25
2023-01-30,Video,40080,320,269.41,4,269.03
2023-10-13,Display,138731,601,338.53,6,367.81
2023-08-05,Email,12664,276,16.12,15,1234.47
2023-12-26,Email,29380,698,40.92,32,2692.76
2023-06-03,Paid Social,114251,1480,924.62,27,1587.37
2024-08-30,Email,16908,426,27.61,22,2232.07
2024-11-14,Paid Social,142293,1880,1278.04,38,2779.69
2024-12-07,Email,21860,559,35.7,24,1800.76
2023-09-30,Email,15372,393,24.83,21,1936.74
2023-05-13,Email,13011,307,17.94,15,1256.78
2023-06-16,Paid Social,82574,1174,755.56,25,1573.79
2024-05-15,Paid Search,68557,2460,3200.08,106,9338.68
2023-04-17,Display,133705,421,207.32,4,254.31
2023-09-20,Display,162304,740,364.49,8,415.6
2024-04-30,Display,125955,668,321.02,6,383.41
2023-11-22,Email,21784,526,51.56,40,3880.11
2024-11-01,Paid Search,84105,3070,3935.56,109,8213.55
2023-02-07,Paid Social,67891,808,579.15,21,1376.79
2024-01-11,Paid Search,40151,1512,2096.92,75,4972.05
2023-08-21,Video,42195,402,365.93,6,436.47
2024-08-10,Email,14399,325,22.8,21,1501.88
2023-05-28,Display,151382,453,209.47,5,320.6
2023-11-24,Paid Social,131988,1448,1874.63,75,4925.19
2024-11-16,Display,188103,188515,339.77,6,308.73
2023-03-27,Display,114474,510,246.25,5,306.76
2023-10-29,Paid Social,118484,1226,976.66,25,1484.37
2023-01-12,Paid Social,77643,996,689.04,20,1202.24
2023-11-30,Display,221054,889,451.94,7,382.47
2023-01-13,Email,12020,335,20.5,18,1623.25
2023-03-31,Email,18947,526,30.88,25,2618.57
2024-03-20,Paid Search,60753,1969,2379.11,70,4891.42
2024-08-16,Paid Social,93946,1011,792.77,21,1271.76
2024-04-17,Paid Social,91769,1220,756.75,29,1854.12
2024-05-28,Paid Search,57523,2054,2553.01,63,5150.14
2024-11-09,Paid Social,157575,2002,1485.22,42,3016.33
2024-02-27,Paid Social,92262,1055,842.84,21,1385.56
2024-08-22,Display,153029,581,280.68,5,304.36
2024-11-07,Paid Search,85891,3105,4330.16,112,8672.04
2024-02-13,Display,159046,663,321.5,7,366.38
2024-04-23,Paid Social,102661,1345,902.15,30,1919.37
2024-05-30,Video,52961,438,345.84,7,518.69
2024-08-12,Paid Social,106102,1235,910.04,26,1816.14
2024-01-26,Paid Social,71411,839,592.08,17,1158.12
2023-08-24,Display,145074,574,279.07,5,241.81
2024-07-05,Display,145764,541,249.94,6,440.53
2023-05-02,Paid Social,97479,1308,882.04,30,1823.42
2024-09-30,Email,22625,596,36.14,37,2928.48
2023-05-12,Paid Search,59335,1904,2317.46,91,6871.85
2024-01-16,Email,19991,607,38.36,29,2534.11
2023-08-30,Video,46613,316,284.26,4,259.22
2024-05-22,Paid Social,104157,1361,856.79,26,1614.71
2023-11-25,Email,18506,415,42.05,44,4388.12
2023-06-28,Paid Search,48985,1621,1882.68,65,4914.38
2023-02-18,Email,11707,289,17.38,14,1165.04
2023-01-30,Paid Social,71068,791,544.01,17,1219.13
2023-05-04,Paid Social,80861,871,629.25,23,1555.04
2023-04-18,Email,19039,488,28.28,25,2277.11
2023-06-12,Email,15465,400,27.26,21,1793.83
2023-02-13,Social,80480,872,586.93,15,857.97
2023-02-21,Display,98263,368,187.96,4,245.23
2024-11-15,Display,156567,458,226.6,6,416.5
2024-07-07,Paid Social,103021,1318,745.0,27,1746.42
2023-03-28,Email,16339,375,23.01,19,1600.03
2024-12-15,Display,232543,1087,575.47,9,508.24
06/20/2024,Paid Social,80302,1001,628.35,24,1564.73
2023-08-07,Paid Social,87776,1136,720.66,19,1036.88
2023-03-08,Video,44149,345,291.42,4,322.54
2023-12-22,Paid Social,121029,1499,961.94,35,2071.19
2024-09-05,Email,22304,612,40.74,32,2917.99
2023-03-21,Paid Search,54332,2052,2507.97,89,6469.65
2023-08-27,Display,131361,537,252.79,4,207.28
2023-10-07,Paid Social,124522,1517,1159.13,27,1760.48
2023-11-04,Video,77459,623,611.81,10,715.73
2024-05-16,Video,52632,403,355.73,6,490.62
2024-07-12,Display,120657,436,214.35,3,179.2
2024-08-29,Paid Social,77998,1016,652.0,25,1949.5
2023-01-02,Paid Social,73256,915,618.87,19,1214.32
2023-11-18,Video,71900,600,551.21,8,561.6
2023-05-16,Email,18695,424,24.83,15,1484.17
2024-11-12,Video,56320,557,514.51,7,527.82
2024-04-17,Email,24472,695,41.03,46,3743.08
2023-04-16,Paid Social,118851,1438,898.72,41,2657.3
2024-03-21,Paid Search,61813,2196,2760.2,122,9783.56
2024-02-25,Paid Search,50930,1502,1702.36,67,5081.87
2024-06-30,Paid Search,47475,1459,2010.26,54,4201.21
2024-06-17,Display,132715,524,248.3,5,261.37
2024-06-06,Video,48051,364,336.93,5,328.54
2023-04-13,Email,18459,513,33.62,22,2223.8
2024-06-11,Paid Search,69770,2363,2787.48,104,7650.92
2023-06-02,Social,79994,1086,779.38,23,1712.48
2023-08-28,Display,125367,487,216.49,5,280.91
2024-01-26,Display,129343,520,291.19,4,293.52
2023-06-08,Paid Social,78151,978,685.66,24,1561.05
2023-07-13,Email,14356,326,21.38,15,1316.09
2024-02-10,Paid Social,94924,1377,935.06,24,1412.44
2023-03-07,Display,127177,609,321.07,6,356.44
2023-06-30,Paid Search,56764,2007,2380.16,102,7476.06
2023-07-19,Email,15139,346,19.65,21,
2024-09-06,Display,132121,500,292.31,7,388.09
2024-11-09,Email,18834,464,31.92,19,1625.92
2024-06-22,Email,16264,421,25.85,26,1950.27
2024-02-28,Email,18210,501,32.86,33,3286.18
2024-01-04,Display,121322,477,218.71,5,303.98
2023-08-15,Email,17540,411,21.92,26,2019.32
2024-07-21,Email,15388,369,21.54,17,1694.29
2024-09-14,Display,180276,677,309.75,8,415.1
2023-03-12,Paid Search,50114,1909,2188.52,86,7464.42
2023-07-26,Video,41924,331,318.54,4,250.44
2023-07-20,Paid Search,49721,1618,1878.28,71,5539.66
2024-10-24,Paid Search,67507,2521,2983.34,103,8956.93
2023-06-01,Email,17718,426,24.26,25,2225.54
2023-07-01,Display,131917,473,216.58,5,305.63
2023-01-21,Paid Social,77674,914,577.9,19,1032.93
2023-10-18,Video,42137,326,329.45,5,366.49
2024-08-01,Video,47030,395,319.51,6,478.71
2024-01-17,Email,16182,388,25.87,14,1196.1
2024-07-02,Paid Social,89484,1207,763.45,21,1467.15
2024-12-21,Paid Search,98719,4400,4724.51,219,17202.23
2024-08-07,Video,53070,440,300.62,8,632.23
2024-09-02,Display,126885,468,218.54,5,256.7
2024-03-24,Paid Search,62744,2026,2174.7,93,7620.05
2023-12-10,Display,193909,817,385.54,9,559.21
2024-12-01,Paid Search,84882,3391,8134.94,216,17122.35
2023-03-21,Video,40090,338,279.07,5,310.59
2023-05-15,Paid Search,62806,2259,2560.32,74,6275.16
2023-02-22,Display,85715,366,175.01,4,231.67
2024-09-18,Video,43698,294,293.76,4,248.2
2024-06-01,Paid Search,61027,2154,2893.48,90,7472.14
2024-12-02,Paid Social,158923,1950,2508.59,78,5080.81
2024-03-26,Paid Search,53150,1845,2336.87,52,4497.74
2024-07-18,Paid Search,46579,1680,2128.02,58,4528.15
2024-02-14,Display,124749,483,218.57,5,275.7
2024-03-24,Paid Social,108563,1380,1104.43,29,1972.66
2023-01-19,Video,44451,360,344.4,4,300.65
2024-06-23,Paid Search,61131,2248,2729.21,95,6798.03
2024-10-12,Paid Social,145057,1571,1103.16,32,2625.18
2024-02-13,Video,49882,427,388.45,7,460.9
2023-12-08,Display,204911,787,395.76,7,383.36
2023-12-13,Paid Search,86497,3018,3560.02,97,7185.13
2023-09-19,Video,46829,428,332.58,8,527.47
2024-12-30,Video,76470,677,558.34,9,688.18
2024-03-06,Paid Search,59372,2236,2507.46,76,6062.47
2023-11-06,Paid Social,127700,1461,948.94,24,1322.56
2024-06-21,Paid Social,97229,1072,788.7,19,1119.11
2024-10-12,Display,168517,746,352.23,8,367.52
2023-02-21,Paid Search,53455,1954,2275.29,77,5234.49
2023-06-17,Paid Social,123399,1353,893.0,23,1544.15
2024-05-12,Display,157992,670,335.54,7,358.45
2024-05-09,Email,22869,536,37.08,26,2201.24
2023-01-17,Video,35266,282,258.25,5,369.92
2023-01-14,Video,36924,313,299.89,7,467.94
2023-09-26,Paid Search,54269,1982,2463.41,73,5135.48
2024-07-20,Email,13217,314,17.5,12,984.37
2023-01-31,Paid Search,43822,1383,1451.51,51,3956.66
2023-02-07,Email,14798,328,20.9,17,1535.69
2024-06-04,Paid Social,111335,1190,833.82,20,1178.22
2023-03-21,Display,122288,583,265.61,5,264.91
2023-05-25,Video,43200,327,301.14,7,533.66
2024-07-15,Paid Search,56724,2359,2428.6,98,6661.31
2024-10-28,Paid Search,71980,2511,2591.29,95,7451.77
2023-12-01,Display,221336,903,380.03,9,541.49
2024-07-19,Video,37105,306,287.37,5,380.4
2024-09-01,Video,68559,550,458.04,9,663.54
2023-11-21,Email,23746,616,72.7,47,5309.78
2023-08-18,Display,129235,557,266.16,5,301.41
2023-04-07,Display,125998,432,213.24,4,260.84
2023-01-16,Paid Social,67274,866,761.15,16,1047.41
2023-01-23,Email,14332,372,27.06,24,2498.01
2023-05-15,Video,51078,403,313.04,7,511.43
2024-01-20,Video,41992,315,267.77,6,523.15
2024-03-04,Paid Social,103646,1561,1110.8,28,1896.24
2023-12-17,Display,245961,1118,578.49,13,705.48
2024-08-16,Email,18284,510,37.33,24,2286.74
2024-06-30,Paid Social,144212,2008,1246.14,37,2508.53
2023-11-04,Display,215694,850,349.99,9,604.7
2023-10-02,Email,15059,424,23.82,25,1765.09
2024-10-27,Video,68836,484,449.84,9,657.05
2024-05-08,Email,16525,451,29.75,20,1630.77
